term,id,preferred term
color constancy,trm_4fea09fac5316,color constancy
deep processing,trm_4a3fd79d0a07e,deep processing
auditory memory,trm_4a3fd79d09aa7,auditory memory
acoustic coding,trm_4a3fd79d096fc,acoustic coding
lateral masking,trm_502bdc6bdaa2b,lateral masking
non-choice task,trm_4d55997cd3edb,non-choice task
joint attention,trm_4b75ed06c917d,joint attention
serial learning,trm_4a3fd79d0b0b1,serial learning
internal speech,trm_4a3fd79d0a6c5,internal speech
bickel titrator,trm_5696a599bfcb6,bickel titrator
passive viewing,trm_4c899211a965c,passive viewing
navigation task,trm_4f241173868a3,navigation task
tower of london,trm_4da87e439c411,tower of london
implicit memory,trm_4a3fd79d0a533,implicit memory
audio narrative,trm_5550e5011ce10,audio narrative
mental rotation,trm_4a3fd79d0a914,mental rotation
coherent motion,trm_551b0c616de16,coherent motion
goal management,trm_4a3fd79d0a43c,goal management
naming (covert),trm_4c8990c87035d,naming (covert)
spatial ability,trm_4a3fd79d0b1a6,spatial ability
size match task,trm_4fbd2af083332,size match task
explicit memory,trm_4a3fd79d0a281,explicit memory
wais digit span,trm_5106eee90937a,wais digit span
self monitoring,trm_4a3fd79d0b05e,self monitoring
problem solving,trm_4a3fd79d0adb7,problem solving
procedural rule,trm_4a3fd79d0ade8,procedural rule
error detection,trm_4a3fd79d0a20c,error detection
episodic memory,trm_4a3fd79d0a1f4,episodic memory
prosodic stress,trm_4a3fd79d0ae58,prosodic stress
episodic buffer,trm_4a3fd79d0b8f0,episodic buffer
thermosensation,trm_4a3fd79d0b39d,thermosensation
reconsolidation,trm_4a3fd79d0b972,reconsolidation
text processing,trm_4a3fd79d0b386,text processing
critical period,trm_4a3fd79d09f4d,critical period
task difficulty,trm_557b4add1837e,task difficulty
eating/drinking,trm_4c898c0786246,eating/drinking
episodic recall,trm_4c898c8bf1b4f,episodic recall
apparent motion,trm_4a3fd79d09855,apparent motion
keep-track task,trm_4c40d4054f38b,keep-track task
kanizsa figures,tsk_4a57abb949b00,kanizsa figures
isometric force,trm_4c8990480ad0f,isometric force
somatosensation,trm_4a3fd79d0b160,somatosensation
reward learning,trm_5159cb12a0f92,reward learning
wais vocabulary,trm_5106f17025386,wais vocabulary
route knowledge,trm_4a3fd79d0afda,route knowledge
sensory profile,trm_526943e3cbaaf,sensory profile
npu-threat test,trm_502420a682976,npu-threat test
face perception,trm_4a3fd79d0a300,face perception
attention shift,trm_4a3fd79d0b5d7,attention shift
form perception,trm_4a3fd79d0a398,form perception
volatile bandit,trm_5696b180169bd,volatile bandit
corpus analysis,trm_5521752956bb2,corpus analysis
neuroplasticity,trm_51a690eeadcb7,neuroplasticity
wais arithmetic,trm_5106f4dfe08b1,wais arithmetic
semantic memory,trm_4a3fd79d0b083,semantic memory
reading (overt),trm_4c8a82eeaa58f,reading (overt)
digit span task,tsk_4a57abb949a0d,digit span task
meditation task,trm_4fb4175126374,meditation task
word repetition,trm_4a3fd79d0b59b,word repetition
risk processing,trm_557b4a913f8cc,risk processing
word generation,trm_4a3fd79d0b55f,word generation
decision making,trm_4a3fd79d0a038,decision making
dot motion task,trm_4f244ad7dcde7,dot motion task
conventionality,trm_4a3fd79d09eb6,conventionality
overt attention,trm_4feb3f8c551cb,overt attention
discrimination,trm_5519b7525d7a2,discrimination
habit learning,trm_4a3fd79d0a48e,habit learning
running memory,trm_551f0b18d7ca0,running memory
goal formation,trm_4a3fd79d0a425,goal formation
edge detection,trm_4a3fd79d0b9a1,edge detection
error trapping,trm_4a3fd79d0a223,error trapping
intentionality,trm_4a3fd79d0a6a1,intentionality
rest eyes open,trm_4c8a834779883,rest eyes open
pantomime task,tsk_4a57abb949c04,pantomime task
deep structure,trm_4a3fd79d0a08a,deep structure
feature search,trm_4fea18ec76bc9,feature search
context memory,trm_4a3fd79d09e87,context memory
categorization,trm_4a3fd79d09c28,categorization
goal selection,trm_5519b5f181edd,goal selection
generalization,trm_4a3fd79d0a3ea,generalization
cognitive load,trm_4a3fd79d09d64,cognitive load
sensory memory,trm_4a3fd79d0b09a,sensory memory
attention span,trm_4a3fd79d0b5e3,attention span
task-switching,tsk_4a57abb949e8a,task-switching
working memory,trm_4a3fd79d0b5a7,working memory
syntactic task,trm_4f244a453522b,syntactic task
naming (overt),trm_4c8990e187dc7,naming (overt)
shadowing task,trm_4f2456932f11b,shadowing task
visual masking,trm_4a3fd79d0b492,visual masking
visual imagery,trm_4a3fd79d0b487,visual imagery
mental imagery,trm_4a3fd79d0a8fc,mental imagery
multistability,trm_551b0cdcde976,multistability
self knowledge,trm_5154b39a3193d,self knowledge
verbal fluency,trm_4a3fd79d0b44c,verbal fluency
memory storage,trm_4a3fd79d0b938,memory storage
spatial memory,trm_4a3fd79d0b1d5,spatial memory
theory of mind,trm_4a3fd79d0b392,theory of mind
taste aversion,trm_4a3fd79d0b363,taste aversion
social context,trm_4a3fd79d0b148,social context
resource limit,trm_4a3fd79d0af4c,resource limit
chapman scales,trm_55a6cab35ea62,chapman scales
deception task,trm_4c898b4b463aa,deception task
auditory scene,trm_4a3fd79d09abe,auditory scene
lexical access,trm_4a3fd79d0b80f,lexical access
breath-holding,trm_4c898a680e424,breath-holding
primary memory,trm_4a3fd79d0ad94,primary memory
misattribution,trm_4a3fd79d0a943,misattribution
proprioception,trm_4a3fd79d0ae3d,proprioception
tower of hanoi,trm_4da87e7282f92,tower of hanoi
task switching,trm_4a3fd79d0b613,task switching
space fortress,trm_50df1c0d946b8,space fortress
rehearsal loop,trm_4a3fd79d0ba60,rehearsal loop
motor learning,trm_4a3fd79d0a995,motor learning
attention bias,trm_50df0d8dc717b,attention bias
motor planning,trm_4a3fd79d0a9a1,motor planning
cross modality,trm_551b0e17c6c76,cross modality
cyberball task,trm_4f24189031a4a,cyberball task
rule learning,trm_4a3fd79d0affd,rule learning
object n-back,trm_4ebd477ab5a11,object n-back
risk aversion,trm_55ce71c47f37b,risk aversion
retrieval cue,trm_4a3fd79d0afa0,retrieval cue
echoic memory,trm_4b185801de7a1,echoic memory
grasping task,trm_4c898ff0bea97,grasping task
response bias,trm_559f0a129c136,response bias
remote memory,trm_4a3fd79d0aee4,remote memory
reinstatement,trm_502403240a2a2,reinstatement
pronunciation,trm_4a3fd79d0ae17,pronunciation
mcgurk effect,trm_51a637dfeffd5,mcgurk effect
landmark task,trm_5346938eed092,landmark task
encoding task,trm_4c898c33ee5f8,encoding task
go/no-go task,tsk_4a57abb949a93,go/no-go task
serial search,trm_4a3fd79d0b0c8,serial search
active recall,trm_4a3fd79d0b8b5,active recall
updating task,trm_4f242172aea5d,updating task
spelling task,trm_4f24135453d65,spelling task
cognitive map,trm_4a3fd79d09d70,cognitive map
communication,trm_4a3fd79d09d9e,communication
agreeableness,trm_523f5ee64102c,agreeableness
criteria task,trm_512e7621189ad,criteria task
tone matching,trm_5519c2645167e,tone matching
consciousness,trm_4a3fd79d09e35,consciousness
reaction time,trm_50f84e8ab7af8,reaction time
consolidation,trm_4a3fd79d0b8cd,consolidation
tone counting,trm_4ebc6a6b75ebf,tone counting
visual search,trm_4a3fd79d0b4cd,visual search
visual memory,trm_4a3fd79d0b49e,visual memory
visual buffer,trm_4a3fd79d0b47b,visual buffer
visual acuity,trm_500d8bcf5f29a,visual acuity
verbal memory,trm_4a3fd79d0b457,verbal memory
trait anxiety,trm_50aff037c389f,trait anxiety
externalizing,trm_523ca883711cc,externalizing
source memory,trm_4a3fd79d0b18f,source memory
social phobia,trm_523e053844495,social phobia
fixation task,trm_4c898f72228f3,fixation task
gambling task,trm_4f24496a80587,gambling task
semantic task,trm_4f241b50caaf7,semantic task
letter memory,trm_5696a9cfe45b1,letter memory
perfectionism,trm_525c58f9aabae,perfectionism
interoception,trm_4fe39e4388409,interoception
iconic memory,trm_4a3fd79d0a4f9,iconic memory
motor control,trm_4a3fd79d0a972,motor control
hyperactivity,trm_523c7c13bc55f,hyperactivity
loss aversion,trm_4a3fd79d0a83f,loss aversion
hill climbing,trm_4a3fd79d0a4c9,hill climbing
internalizing,trm_523ca7e778c50,internalizing
metacognition,trm_4a3fd79d0a920,metacognition
interrogative,trm_4a3fd79d0a6d0,interrogative
introspection,trm_4a3fd79d0a6f4,introspection
hallucination,trm_4a3fd79d0a4a6,hallucination
motor program,trm_4a3fd79d0a9ad,motor program
odd-even task,trm_4f2452adb7d23,odd-even task
parrott scale,tsk_4a57abb949ce9,parrott scale
imageability,trm_4a3fd79d0a504,imageability
memory trace,trm_4a3fd79d0b943,memory trace
anticipation,trm_4a3fd79d09849,anticipation
transduction,trm_50297454e516b,transduction
subconscious,trm_4d21e9a7dd8ca,subconscious
memory decay,trm_4a3fd79d0b92c,memory decay
cue validity,trm_4a3fd79d09f7c,cue validity
dative shift,trm_4a3fd79d0a006,dative shift
film viewing,trm_4c898da401420,film viewing
habit memory,trm_4a3fd79d0a49a,habit memory
writing task,trm_4c8a85c5c75eb,writing task
coproduction,trm_4a3fd79d09f12,coproduction
naming tasks,trm_552174863d51e,naming tasks
interference,trm_4a3fd79d0a6ad,interference
oddball task,tsk_4a57abb949bf6,oddball task
operant task,trm_50240f06af135,operant task
irritability,trm_523c7afe39f78,irritability
localization,trm_5521a0512df9a,localization
copying task,trm_4fbd2ac1cd035,copying task
corsi blocks,trm_4da881dace79c,corsi blocks
intelligence,trm_4a3fd79d0a666,intelligence
visual angle,trm_500d8c8fcc520,visual angle
zoo map test,trm_4da89089ce0af,zoo map test
devil's task,trm_4d559d2703bae,devil's task
manipulation,trm_4a3fd79d0ba3c,manipulation
conversation,trm_4a3fd79d09eda,conversation
coordination,trm_4a3fd79d09f07,coordination
why/how task,trm_53c4465b0466f,why/how task
wisc-r mazes,trm_4b86c55f3d5df,wisc-r mazes
tapping task,trm_534692ef3b5df,tapping task
dispositions,trm_4a3fd79d0a0e7,dispositions
overt naming,trm_558c74b165bb1,overt naming
assimilation,trm_4a3fd79d098b2,assimilation
apperception,trm_4a3fd79d0986c,apperception
risk seeking,trm_4a3fd79d0b64e,risk seeking
articulation,trm_4a3fd79d0988f,articulation
motor praxis,trm_56a2a4dbdf127,motor praxis
automaticity,trm_4a3fd79d09b28,automaticity
multisensory,trm_4e31d3ba7d25b,multisensory
error signal,trm_4a3fd79d0a218,error signal
set shifting,trm_4a3fd79d0b607,set shifting
false memory,trm_4a3fd79d0a323,false memory
echolocation,trm_4a3fd79d0b996,echolocation
deliberation,trm_4fa28299dbddd,deliberation
self control,trm_4ee8facd77dfc,self control
competition,trm_4a3fd79d09daa,competition
nociception,trm_4a3fd79d0aa0c,nociception
ax-cpt task,trm_4c40d2a93ea15,ax-cpt task
indignation,trm_4a3fd79d0a56e,indignation
kinesthesia,trm_4a3fd79d0a73a,kinesthesia
proper noun,trm_4a3fd79d0ae2b,proper noun
inattention,trm_4a3fd79d0a54b,inattention
maintenance,trm_4a3fd79d0ba30,maintenance
orthography,trm_4a3fd79d0b84a,orthography
integration,trm_4a3fd79d0a65a,integration
connotation,trm_4a3fd79d09e2a,connotation
association,trm_4a3fd79d098bd,association
familiarity,trm_4a3fd79d0b8fc,familiarity
video games,trm_4c8a84d4c4157,video games
coreference,trm_4a3fd79d09f1e,coreference
recognition,trm_4a3fd79d0b967,recognition
impulsivity,trm_50070dce14554,impulsivity
word attack,tsk_4a57abb949f2f,word attack
frustration,trm_4a3fd79d0b695,frustration
bistability,trm_5519c4bb1d1ee,bistability
uncertainty,trm_4a3fd79d0b3fa,uncertainty
n-back task,tsk_4a57abb949bcd,n-back task
imagination,trm_4f4511e519b53,imagination
distraction,trm_4a3fd79d0a0f3,distraction
catbat task,trm_4da88bff0507c,catbat task
recall test,trm_4f2411c91ae5e,recall test
stroop task,tsk_4a57abb949e27,stroop task
stereotypes,trm_4a3fd79d0b285,stereotypes
humiliation,trm_4a3fd79d0a4e1,humiliation
gm paradigm,trm_569d6eef27433,gm paradigm
locomotion,trm_50eb692db57eb,locomotion
excitation,trm_4a3fd79d0a22f,excitation
perception,trm_4a3fd79d0ab7c,perception
expectancy,trm_4ebfe9a465449,expectancy
intonation,trm_4a3fd79d0a6dc,intonation
paraphasia,trm_4d7fa1a3e2a10,paraphasia
past tense,trm_4a3fd79d0ab59,past tense
skepticism,trm_4a3fd79d0b10e,skepticism
loneliness,trm_529d0d62290de,loneliness
crossmodal,trm_4e31d2241319f,crossmodal
fitts task,trm_4f24226fa2903,fitts task
metamemory,trm_4a3fd79d0b94f,metamemory
goal state,trm_4a3fd79d0a448,goal state
monitoring,trm_4a3fd79d0a94f,monitoring
stereopsis,trm_4a3fd79d0b279,stereopsis
plus-minus,trm_5696b316c220a,plus-minus
morphology,trm_4a3fd79d0b83e,morphology
unisensory,trm_4e31d365bc7e2,unisensory
egocentric,trm_4a3fd79d0a168,egocentric
forgetting,trm_4a3fd79d0b908,forgetting
imprinting,trm_4a3fd79d0a53f,imprinting
incubation,trm_4a3fd79d0a562,incubation
efficiency,trm_4a3fd79d0a145,efficiency
wilson+niv,trm_566747c3d757f,wilson+niv
word order,trm_4a3fd79d0b56b,word order
inhibition,trm_4a3fd79d0a613,inhibition
extinction,trm_4fe8edc62f613,extinction
navigation,trm_4a3fd79d0aa00,navigation
centration,trm_4a3fd79d09c74,centration
autonoesis,trm_4ff1fc04e22e8,autonoesis
shift task,trm_5696c3fa0061a,shift task
attachment,trm_4a3fd79d098e0,attachment
simon task,tsk_4a57abb949dbb,simon task
blindsight,trm_5029515e29f7f,blindsight
activation,trm_4a3fd79d09741,activation
adaptation,trm_4a3fd79d09758,adaptation
bitterness,trm_4a3fd79d09bcb,bitterness
diphthong,trm_4a3fd79d0a0dc,diphthong
vigilance,trm_4da88a8e13f26,vigilance
worldview,trm_4f46753b8be4f,worldview
discourse,trm_4a3fd79d0b6c5,discourse
depth cue,trm_4a3fd79d0a095,depth cue
rehearsal,trm_4a3fd79d0ba54,rehearsal
detection,trm_55ce70b20186b,detection
retention,trm_4a3fd79d0af7d,retention
time wall,trm_50c0f3e6c596e,time wall
prototype,trm_4a3fd79d0ae87,prototype
anchoring,trm_4a3fd79d09833,anchoring
filtering,trm_4a3fd79d0a352,filtering
reasoning,trm_4a3fd79d0aec1,reasoning
neologism,trm_4d7fa2df05f23,neologism
phonation,trm_4a3fd79d0ac4a,phonation
psychosis,trm_52405de6b7a63,psychosis
narrative,trm_4a3fd79d0a9e8,narrative
knowledge,trm_4a3fd79d0a746,knowledge
retrieval,trm_4a3fd79d0af94,retrieval
expertise,trm_4a3fd79d0a25e,expertise
anhedonia,trm_52583dceb345e,anhedonia
phonetics,trm_4a3fd79d0b862,phonetics
inference,trm_4a3fd79d0a5ed,inference
induction,trm_4a3fd79d0a579,induction
whistling,trm_4c8a8575d1e55,whistling
attention,trm_4a3fd79d09902,attention
constancy,trm_4a3fd79d09e58,constancy
intention,trm_4a3fd79d0a67d,intention
listening,trm_4a3fd79d0a803,listening
cups task,tsk_4a57abb9499d5,cups task
olfaction,trm_4a3fd79d0aabc,olfaction
addiction,trm_4fafd1626bf2b,addiction
crosstalk,trm_4a3fd79d09f59,crosstalk
prejudice,trm_4a3fd79d0ad64,prejudice
curiosity,trm_4f3bdeedcc99d,curiosity
deception,trm_4a3fd79d0a02c,deception
self talk,trm_4f4672db34a46,self talk
happiness,trm_4a3fd79d0b6ad,happiness
obsession,trm_523e0419ec219,obsession
dyslexia,trm_55e1b08e5b06c,dyslexia
movement,trm_4a3fd79d0a9c4,movement
salience,trm_4a3fd79d0b020,salience
strength,trm_50eb5469ba37a,strength
defiance,trm_523e034f9e69a,defiance
audition,trm_4a3fd79d0995e,audition
attitude,trm_4a3fd79d09947,attitude
rigidity,trm_523e0a4b443dc,rigidity
pointing,trm_4c89926767870,pointing
delusion,trm_4fa3afaeef512,delusion
ant task,trm_551f0857e1db8,ant task
decision,trm_4a3fd79d0b61f,decision
crowding,trm_502c139d5ed78,crowding
openness,trm_523f5f918cb2c,openness
chunking,trm_4a3fd79d09cae,chunking
microcog,trm_4b9568b2865c2,microcog
metaphor,trm_4a3fd79d0a937,metaphor
paranoia,trm_52405e33adafa,paranoia
appetite,trm_52583e083c9ab,appetite
task set,trm_4c3e0646a2408,task set
alveolar,trm_4a3fd79d097cb,alveolar
updating,trm_4c3e05903e4bb,updating
fixation,trm_4a3fd79d0a35e,fixation
grapheme,trm_4a3fd79d0b76e,grapheme
judgment,trm_4a3fd79d0a723,judgment
altruism,trm_4a3fd79d097b4,altruism
hedonism,trm_4a3fd79d0a4b2,hedonism
language,trm_4a3fd79d0a769,language
lethargy,trm_523c7ba79c2f1,lethargy
planning,trm_4a3fd79d0acc1,planning
learning,trm_4a3fd79d0a7bb,learning
encoding,trm_4a3fd79d0b8e5,encoding
instinct,trm_4a3fd79d0a637,instinct
strategy,trm_4a3fd79d0b29c,strategy
resource,trm_4f3a72a028d90,resource
surprise,trm_4a3fd79d0b306,surprise
arousal,trm_4a3fd79d09883,arousal
context,trm_4a3fd79d09e6f,context
valence,trm_4a3fd79d0b429,valence
gestalt,trm_4a3fd79d0a402,gestalt
utility,trm_4a3fd79d0b412,utility
insight,trm_4a3fd79d0a62b,insight
analogy,trm_4a3fd79d09827,analogy
thought,trm_4fa295124a375,thought
drawing,trm_4c898be57fcbc,drawing
anxiety,trm_5022ef7599294,anxiety
parsing,trm_4a3fd79d0ab42,parsing
priming,trm_4e89aebaa311d,priming
framing,trm_4a3fd79d0b636,framing
imagery,trm_4a3fd79d0a510,imagery
vection,trm_500d8aef38f2c,vection
concept,trm_4a3fd79d09db6,concept
empathy,trm_4a3fd79d0b67d,empathy
fatigue,trm_52583e52d5e7a,fatigue
routine,trm_4a3fd79d0afe6,routine
lexicon,trm_4a3fd79d0a7ec,lexicon
meaning,trm_4a3fd79d0a86e,meaning
balance,trm_50eb56a7867db,balance
DOSPERT,trm_5696abecf2569,DOSPERT
sadness,trm_4a3fd79d0b014,sadness
emotion,trm_4a3fd79d0a17f,emotion
reading,trm_4a3fd79d0aeb6,reading
prosody,trm_4a3fd79d0ae64,prosody
gating,trm_551b14d7d5882,gating
search,trm_4a3fd79d0b037,search
memory,trm_4a3fd79d0a891,memory
eating,trm_525d8b8908809,eating
melody,trm_4a3fd79d0a886,melody
agency,trm_5154b2f947fe9,agency
schema,trm_4a3fd79d0b02c,schema
stress,trm_4a3fd79d0b2a8,stress
desire,trm_4a3fd79d0a0ad,desire
syntax,trm_4a3fd79d0b357,syntax
cueing,trm_4a3fd79d09f87,cueing
naming,trm_4a3fd79d0a9dc,naming
ataxia,trm_56a2a8d78dd39,ataxia
wisdom,trm_4a3fd79d0b530,wisdom
noesis,trm_4ffdc96dc85b7,noesis
belief,trm_4a3fd79d09b85,belief
rhythm,trm_4a3fd79d0afc3,rhythm
lexeme,trm_502c343d20523,lexeme
effort,trm_4a3fd79d0a151,effort
regret,trm_4a3fd79d0aecd,regret
recall,trm_4a3fd79d0b95b,recall
AX-DPX,trm_515495b718cd6,AX-DPX
acuity,trm_4a3fd79d0b98a,acuity
action,trm_4a3fd79d09735,action
chunk,trm_4a3fd79d09ca3,chunk
humor,trm_4a3fd79d0a4ed,humor
grief,trm_4a3fd79d0b6a1,grief
guilt,trm_52583d9f2ad98,guilt
dream,trm_4a3fd79d0a12d,dream
lemma,trm_4a3fd79d0a7c7,lemma
focus,trm_4a3fd79d0a381,focus
logic,trm_4a3fd79d0a80f,logic
habit,trm_4a3fd79d0a483,habit
sleep,trm_5159c70d0e98e,sleep
shame,trm_4a3fd79d0b0eb,shame
lying,trm_4a3fd79d0a84a,lying
irony,trm_4a3fd79d0a70b,irony
skill,trm_4a3fd79d0b11a,skill
risk,trm_4a3fd79d0afcf,risk
loss,trm_5159c80c1dd24,loss
gaze,trm_4a3fd79d0a3d2,gaze
pain,trm_4b65259eeee34,pain
goal,trm_4a3fd79d0a419,goal
fear,trm_4a3fd79d0b689,fear
mood,trm_4a3fd79d0a95a,mood
rule,trm_4a3fd79d0aff2,rule
i,trm_4a3fd79d0b09a,sensory memory
i,trm_525d8cd1c9cc3,sensory defensiveness
s,trm_525d8cd1c9cc3,sensory defensiveness
-,trm_4a3fd79d0b09a,sensory memory
n,trm_525d8cd1c9cc3,sensory defensiveness
e,trm_525d8cd1c9cc3,sensory defensiveness
s,trm_525d8cd1c9cc3,sensory defensiveness
i,trm_525d8cd1c9cc3,sensory defensiveness
y,trm_4a3fd79d0b09a,sensory memory
f,trm_4a3fd79d0b09a,sensory memory
s,trm_4c8a85534241d,visual pursuit/tracking
e,trm_525d8e198e0da,sensitivity to change
o,trm_4a3fd79d0b09a,sensory memory
R,trm_4ffca95528c88,psychological refractory period
r,trm_4a3fd79d0b09a,sensory memory
n,trm_4a3fd79d0b09a,sensory memory
r,trm_4a3fd79d0b09a,sensory memory
P,trm_4ffca95528c88,psychological refractory period
t,trm_525d8cd1c9cc3,sensory defensiveness
i,trm_4a3fd79d09849,anticipation
o,trm_4a3fd79d0b09a,sensory memory
i,trm_525d8cd1c9cc3,sensory defensiveness
s,trm_4a3fd79d0b09a,sensory memory
n,trm_4a3fd79d0b09a,sensory memory
e,trm_4a3fd79d0b09a,sensory memory
s,trm_4a3fd79d0b09a,sensory memory
m,trm_4a3fd79d09849,anticipation
v,trm_525d8cd1c9cc3,sensory defensiveness
a,trm_4a3fd79d0b09a,sensory memory
a,trm_4a3fd79d09849,anticipation
y,trm_525d8cd1c9cc3,sensory defensiveness
t,trm_525d8cd1c9cc3,sensory defensiveness
m,trm_4a3fd79d0b09a,sensory memory
n,trm_4a3fd79d09855,apparent motion
t,trm_4a3fd79d0b09a,sensory memory
e,trm_4a3fd79d0b09a,sensory memory
 ,trm_4a3fd79d0b09a,sensory memory
s,trm_4a3fd79d0b09a,sensory memory
e,trm_4a3fd79d0b09a,sensory memory
n,trm_4a3fd79d0b09a,sensory memory
 ,trm_4f2449bdcb0b1,wason card selection task
e,trm_52583e083c9ab,appetite
r,trm_52583e083c9ab,appetite
s,trm_4a3fd79d0b09a,sensory memory
W,trm_4f2449bdcb0b1,wason card selection task
o,trm_4a3fd79d0b09a,sensory memory
r,trm_4a3fd79d0b09a,sensory memory
a,trm_4f2449bdcb0b1,wason card selection task
y,trm_4a3fd79d0b09a,sensory memory
s,trm_4f241ee9c4e37,word-picture matching task
 ,trm_4a3fd79d0b09a,sensory memory
r,trm_4a3fd79d0b09a,sensory memory
e,trm_4a3fd79d0b09a,sensory memory
;,trm_4a3fd79d0b09a,sensory memory
g,trm_52583e083c9ab,appetite
i,trm_4a3fd79d0b09a,sensory memory
",",trm_4f2449bdcb0b1,wason card selection task
 ,trm_4a3fd79d09849,anticipation
",",trm_4a3fd79d09849,anticipation
o,trm_4a3fd79d0b09a,sensory memory
a,trm_4f2449bdcb0b1,wason card selection task
s,trm_4f2449bdcb0b1,wason card selection task
P,trm_4ffca95528c88,psychological refractory period
n,trm_4a3fd79d0b09a,sensory memory
 ,trm_4a3fd79d0b09a,sensory memory
s,trm_4a3fd79d0b09a,sensory memory
t,trm_4a3fd79d0b09a,sensory memory
t,trm_4a3fd79d09855,apparent motion
h,trm_52583e083c9ab,appetite
o,trm_4a3fd79d0b09a,sensory memory
r,trm_4a3fd79d0b09a,sensory memory
u,trm_52583e083c9ab,appetite
n,trm_52583e083c9ab,appetite
k,trm_4f2449bdcb0b1,wason card selection task
c,trm_525d8e198e0da,sensitivity to change
l,trm_525d8e198e0da,sensitivity to change
t,trm_4f2449bdcb0b1,wason card selection task
e,trm_4d2201d530697,semantic information
 ,trm_4a3fd79d09849,anticipation
s,trm_4d2201d530697,semantic information
e,trm_4d2201d530697,semantic information
m,trm_4d2201d530697,semantic information
a,trm_4d2201d530697,semantic information
n,trm_4d2201d530697,semantic information
t,trm_4d2201d530697,semantic information
i,trm_4d2201d530697,semantic information
c,trm_4d2201d530697,semantic information
 ,trm_4d2201d530697,semantic information
k,trm_4d2201d530697,semantic information
n,trm_4d2201d530697,semantic information
o,trm_4d2201d530697,semantic information
w,trm_4d2201d530697,semantic information
l,trm_4d2201d530697,semantic information
e,trm_4d2201d530697,semantic information
n,trm_5534111a8bc96,punishment processing
d,trm_4d2201d530697,semantic information
g,trm_4d2201d530697,semantic information
s,trm_4a3fd79d09849,anticipation
p,trm_4a3fd79d09849,anticipation
e,trm_5534111a8bc96,punishment processing
s,trm_4ee8facd77dfc,self control
s,trm_4ee8facd77dfc,self control
e,trm_4ee8facd77dfc,self control
l,trm_4ee8facd77dfc,self control
f,trm_4ee8facd77dfc,self control
-,trm_4ee8facd77dfc,self control
a,trm_5534111a8bc96,punishment processing
d,trm_4ee8facd77dfc,self control
i,trm_4ee8facd77dfc,self control
c,trm_4ee8facd77dfc,self control
e,trm_4a3fd79d09849,anticipation
i,trm_4ee8facd77dfc,self control
g,trm_5534111a8bc96,punishment processing
p,trm_4ee8facd77dfc,self control
l,trm_4ee8facd77dfc,self control
i,trm_4ee8facd77dfc,self control
n,trm_4ee8facd77dfc,self control
e,trm_4ee8facd77dfc,self control
c,trm_4a3fd79d09849,anticipation
 ,trm_5534111a8bc96,punishment processing
e,trm_4a3fd79d09849,anticipation
n,trm_525d8e198e0da,sensitivity to change
v,trm_4a3fd79d09849,anticipation
l,trm_525d8e198e0da,sensitivity to change
e,trm_525d8e198e0da,sensitivity to change
x,trm_525d8e198e0da,sensitivity to change
i,trm_525d8e198e0da,sensitivity to change
b,trm_525d8e198e0da,sensitivity to change
i,trm_525d8e198e0da,sensitivity to change
l,trm_525d8e198e0da,sensitivity to change
i,trm_525d8e198e0da,sensitivity to change
t,trm_525d8e198e0da,sensitivity to change
y,trm_525d8e198e0da,sensitivity to change
",",trm_525d8e198e0da,sensitivity to change
 ,trm_525d8e198e0da,sensitivity to change
t,trm_525d8e198e0da,sensitivity to change
p,trm_5534111a8bc96,punishment processing
o,trm_525d8e198e0da,sensitivity to change
i,trm_4a3fd79d0b09a,sensory memory
e,trm_525d8e198e0da,sensitivity to change
r,trm_525d8e198e0da,sensitivity to change
a,trm_525d8e198e0da,sensitivity to change
f,trm_525d8e198e0da,sensitivity to change
k,trm_4c8a85534241d,visual pursuit/tracking
g,trm_4a3fd79d09849,anticipation
s,trm_5534111a8bc96,punishment processing
",",trm_5534111a8bc96,punishment processing
i,trm_4a3fd79d09849,anticipation
o,trm_51838baad343e,semantic network
n,trm_51838baad343e,semantic network
t,trm_51838baad343e,semantic network
o,trm_51838baad343e,semantic network
l,trm_51838baad343e,semantic network
h,trm_5534111a8bc96,punishment processing
i,trm_5534111a8bc96,punishment processing
i,trm_4a3fd79d09849,anticipation
n,trm_5534111a8bc96,punishment processing
u,trm_5534111a8bc96,punishment processing
o,trm_51838baad343e,semantic network
g,trm_51838baad343e,semantic network
y,trm_51838baad343e,semantic network
t,trm_4a3fd79d09849,anticipation
a,trm_4a3fd79d09849,anticipation
n,trm_4a3fd79d09849,anticipation
g,trm_4a3fd79d0b09a,sensory memory
t,trm_4c8a85534241d,visual pursuit/tracking
s,trm_4a3fd79d0b09a,sensory memory
i,trm_4a3fd79d0b607,set shifting
n,trm_4a3fd79d0b607,set shifting
 ,trm_4a3fd79d09849,anticipation
",",trm_4a3fd79d09849,anticipation
t,trm_4a3fd79d09849,anticipation
h,trm_4a3fd79d09849,anticipation
d,trm_557b495cdde57,potential monetary reward
g,trm_4a3fd79d09849,anticipation
s,trm_4a3fd79d0b125,skill acquisition
k,trm_4a3fd79d0b125,skill acquisition
i,trm_4a3fd79d0b125,skill acquisition
l,trm_4a3fd79d0b125,skill acquisition
l,trm_4a3fd79d0b125,skill acquisition
 ,trm_4a3fd79d0b125,skill acquisition
l,trm_4a3fd79d0b125,skill acquisition
e,trm_4a3fd79d0b125,skill acquisition
a,trm_4a3fd79d0b125,skill acquisition
r,trm_4a3fd79d0b125,skill acquisition
